trip_start_date,trip_end_date,Origin_Location,Destination_Location,TRANSPORTATION_DISTANCE_IN_KM,vehicleType,start_hour,weekday,start_month,Weather_Condition,Traffic_Index,Driver_Experience,Package_Weight,delivery_duration_hours
2023-04-13 19:28:00,2023-04-15 16:09:37.343289,Lucknow,Bangalore,2253,Van,19,3,4,Sunny,3,2,294.5,44.69370646912154
2023-09-28 10:07:00,2023-10-01 20:18:33.419245,Delhi,Lucknow,1793,Bike,10,3,9,Sunny,7,4,11.5,82.19261645702926
2024-12-01 20:38:00,2024-12-03 05:35:43.565773,Mumbai,Chennai,1711,Van,20,6,12,Cloudy,2,11,123.4,32.96210160356296
2023-05-02 18:22:00,2023-05-04 05:02:46.609806,Delhi,Lucknow,1296,Truck,18,1,5,Sunny,8,3,5981.4,34.67961383495804
2023-11-27 10:23:00,2023-11-27 15:57:24.278201,Kolkata,Ahmedabad,121,Bike,10,0,11,Cloudy,7,9,4.8,5.573410611345437
2024-01-08 03:39:00,2024-01-08 23:22:31.483077,Lucknow,Mumbai,720,Truck,3,0,1,Sunny,8,10,2203.0,19.725411965898704
2024-10-25 02:21:00,2024-10-25 23:05:17.594466,Mumbai,Pune,1211,Van,2,4,10,Sunny,2,2,1169.1,20.73822068501417
2023-11-05 01:23:00,2023-11-06 03:20:47.053357,Pune,Lucknow,957,Van,1,6,11,Stormy,3,7,365.3,25.963070376997283
2024-05-06 05:01:00,2024-05-06 06:28:13.778184,Kolkata,Bangalore,35,Bike,5,0,5,Cloudy,4,15,3.7,1.4538272734310733
2023-07-11 20:32:00,2023-07-18 15:26:54.504058,Jaipur,Lucknow,2467,Bike,20,1,7,Stormy,9,19,4.5,162.91514001601445
2024-04-04 21:43:00,2024-04-06 04:41:17.695592,Ahmedabad,Hyderabad,767,Bike,21,3,4,Sunny,5,10,9.0,30.971582108977813
2024-07-14 09:27:00,2024-07-16 01:52:06.338073,Pune,Lucknow,1810,Truck,9,6,7,Cloudy,6,20,6937.0,40.41842724260431
2024-11-30 15:14:00,2024-12-01 21:40:16.272821,Bangalore,Kolkata,1565,Van,15,5,11,Sunny,1,14,75.5,30.437853561439173
2023-07-09 14:50:00,2023-07-11 09:58:36.394098,Ahmedabad,Lucknow,1851,Van,14,6,7,Rainy,4,4,400.7,43.14344280491111
2024-07-20 19:56:00,2024-07-23 15:14:54.623779,Kolkata,Ahmedabad,2303,Truck,19,5,7,Rainy,4,11,4878.7,67.31517327198492
2023-05-11 04:50:00,2023-05-13 13:31:28.856479,Bangalore,Ahmedabad,1114,Bike,4,3,5,Sunny,10,3,5.3,56.69134902198899
2024-10-08 20:08:00,2024-10-10 00:37:46.946831,Jaipur,Ahmedabad,671,Trailer,20,1,10,Foggy,8,17,22683.4,28.4963741197822
2023-06-16 17:03:00,2023-06-18 15:11:39.883699,Delhi,Ahmedabad,918,Bike,17,4,6,Sunny,8,7,11.9,46.14441213850673
2024-08-23 13:49:00,2024-08-27 00:20:06.509503,Bangalore,Lucknow,2453,Trailer,13,4,8,Cloudy,10,11,17517.8,82.51847486192491
2023-12-12 20:01:00,2023-12-13 19:48:58.535459,Delhi,Lucknow,531,Trailer,20,1,12,Stormy,6,18,11760.8,23.799593182979933
2023-12-06 14:59:00,2023-12-09 15:57:10.956606,Mumbai,Kolkata,1866,Truck,14,2,12,Foggy,8,14,7306.1,72.969710168397
2024-03-30 11:07:00,2024-04-02 11:31:18.781332,Chennai,Ahmedabad,1769,Van,11,5,3,Stormy,9,14,1273.3,72.405217036564
2023-02-04 13:16:00,2023-02-06 14:54:04.253031,Hyderabad,Delhi,2321,Van,13,5,2,Sunny,5,6,912.5,49.634514730828826
2024-07-15 07:03:00,2024-07-15 21:13:52.278800,Pune,Lucknow,799,Van,7,0,7,Sunny,1,9,1187.5,14.181188555470952
2023-01-02 05:53:00,2023-01-03 11:46:07.790901,Hyderabad,Mumbai,1307,Van,5,0,1,Sunny,1,3,1136.2,29.885497472545683
2023-04-16 03:53:00,2023-04-17 21:28:56.016505,Mumbai,Delhi,1739,Truck,3,6,4,Cloudy,2,17,6145.6,41.59889347360349
2024-04-21 17:25:00,2024-04-21 22:54:31.956030,Bangalore,Chennai,181,Trailer,17,6,4,Rainy,2,12,11243.7,5.492210008248182
2024-07-09 01:09:00,2024-07-09 06:49:34.668349,Mumbai,Kolkata,274,Van,1,1,7,Sunny,5,4,1131.4,5.676296763592989
2023-09-27 15:14:00,2023-09-30 12:58:57.522119,Hyderabad,Pune,1996,Trailer,15,2,9,Cloudy,7,20,9135.9,69.74931169961681
2024-03-31 13:22:00,2024-04-01 13:31:36.046951,Hyderabad,Delhi,1059,Truck,13,6,3,Sunny,7,16,8015.4,24.160013042016626
2023-09-09 07:20:00,2023-09-12 01:56:54.224359,Pune,Lucknow,1502,Bike,7,5,9,Sunny,4,10,12.2,66.61506232204383
2024-12-20 12:17:00,2024-12-22 15:06:51.342702,Ahmedabad,Chennai,1895,Truck,12,4,12,Cloudy,4,7,8399.3,50.83092852830346
2023-02-22 23:25:00,2023-02-23 12:48:25.343692,Lucknow,Chennai,485,Van,23,2,2,Cloudy,10,10,735.7,13.390373247701968
2023-08-05 12:40:00,2023-08-10 04:03:33.919123,Mumbai,Pune,2413,Bike,12,5,8,Rainy,3,7,3.3,111.39275531197606
2023-06-06 14:44:00,2023-06-07 10:49:03.060375,Chennai,Jaipur,1059,Truck,14,1,6,Sunny,2,18,1897.5,20.084183437381384
2023-03-06 06:08:00,2023-03-06 07:30:26.084648,Lucknow,Chennai,43,Truck,6,0,3,Rainy,3,9,7690.3,1.3739124022591265
2023-12-10 00:43:00,2023-12-13 01:36:31.845571,Mumbai,Pune,2321,Trailer,0,6,12,Sunny,8,18,22725.2,72.89217932530995
2024-10-09 23:10:00,2024-10-10 21:05:47.412064,Jaipur,Chennai,1171,Truck,23,2,10,Sunny,1,17,6857.5,21.92983668447341
2024-05-13 16:07:00,2024-05-15 02:08:42.966513,Kolkata,Pune,825,Bike,16,0,5,Cloudy,4,11,2.6,34.02860180919849
2024-11-05 02:32:00,2024-11-06 08:17:18.287341,Kolkata,Bangalore,763,Truck,2,1,11,Foggy,7,1,9414.1,29.755079817082542
2024-01-14 04:41:00,2024-01-14 14:40:31.996976,Hyderabad,Jaipur,575,Van,4,6,1,Sunny,5,17,1484.2,9.992221382264116
2023-08-19 08:27:00,2023-08-19 21:24:14.764352,Kolkata,Pune,471,Trailer,8,5,8,Sunny,2,4,13667.6,12.95410120895621
2023-05-15 08:07:00,2023-05-17 20:55:53.880758,Delhi,Pune,1664,Bike,8,0,5,Cloudy,1,4,9.1,60.81496687734867
2023-02-02 15:54:00,2023-02-02 19:57:37.702606,Chennai,Delhi,90,Bike,15,3,2,Sunny,6,14,11.8,4.060472946044805
2024-02-11 23:36:00,2024-02-14 05:22:02.796840,Kolkata,Ahmedabad,1947,Truck,23,6,2,Rainy,5,9,7627.5,53.76744356671577
2023-04-09 11:39:00,2023-04-10 03:49:02.435514,Bangalore,Delhi,879,Van,11,6,4,Rainy,3,13,1453.3,16.167343198311425
2024-12-26 02:00:00,2024-12-27 17:24:57.097435,Delhi,Mumbai,1440,Trailer,2,3,12,Sunny,9,16,7297.7,39.41586039873208
2024-09-04 14:13:00,2024-09-06 06:35:40.364975,Lucknow,Kolkata,1079,Bike,14,2,9,Cloudy,3,1,8.9,40.37787915972133
2024-10-04 00:04:00,2024-10-05 00:27:29.384044,Delhi,Pune,608,Trailer,0,4,10,Rainy,2,3,18838.6,24.391495567708063
2023-08-06 22:13:00,2023-08-08 11:40:41.811490,Mumbai,Delhi,1644,Truck,22,6,8,Sunny,5,19,9010.9,37.46161430273031
2024-01-28 14:14:00,2024-01-29 12:24:43.550711,Hyderabad,Chennai,816,Van,14,6,1,Cloudy,9,8,1317.5,22.178764086325852
2024-07-07 12:50:00,2024-07-09 17:35:50.519508,Pune,Chennai,1944,Truck,12,6,7,Sunny,8,18,9802.0,52.76403319656548
2024-07-28 06:48:00,2024-07-29 21:33:31.265441,Pune,Ahmedabad,1086,Trailer,6,6,7,Cloudy,6,6,15241.6,38.75868484484254
2024-07-17 03:29:00,2024-07-17 18:07:55.426331,Jaipur,Lucknow,713,Truck,3,2,7,Sunny,3,20,8476.8,14.648729536459367
2024-04-29 22:38:00,2024-05-03 19:29:48.060505,Chennai,Delhi,2073,Trailer,22,0,4,Rainy,6,6,13545.6,92.86335014023673
2024-10-16 10:28:00,2024-10-17 08:29:00.520083,Mumbai,Delhi,496,Bike,10,2,10,Sunny,5,5,6.6,22.016811134058432
2023-02-05 12:31:00,2023-02-06 16:28:20.579807,Pune,Delhi,715,Bike,12,6,2,Sunny,1,12,4.2,27.955716613019558
2024-11-29 18:21:00,2024-12-01 19:44:52.840021,Hyderabad,Ahmedabad,1535,Truck,18,4,11,Rainy,5,9,8364.1,49.39801111704043
2024-07-31 09:44:00,2024-08-02 11:47:42.638796,Lucknow,Pune,1174,Bike,9,2,7,Sunny,7,9,14.8,50.06184411007173
2024-07-27 20:05:00,2024-07-28 16:14:03.534206,Pune,Chennai,629,Trailer,20,5,7,Sunny,9,17,10126.8,20.150981723955912
2023-01-28 11:43:00,2023-01-29 10:55:46.646384,Bangalore,Mumbai,786,Bike,11,5,1,Sunny,1,19,1.3,23.212957328874296
2023-12-06 10:57:00,2023-12-06 20:04:04.250580,Delhi,Mumbai,456,Van,10,2,12,Sunny,3,17,1232.5,9.117847383201982
2023-12-14 06:32:00,2023-12-16 22:44:36.576800,Pune,Hyderabad,2347,Van,6,3,12,Foggy,8,16,949.3,64.21016022217941
2024-01-20 19:12:00,2024-01-21 01:20:00.025900,Mumbai,Delhi,218,Truck,19,5,1,Rainy,6,12,9637.3,6.133340527678189
2023-09-16 06:05:00,2023-09-17 23:42:44.229504,Kolkata,Ahmedabad,1508,Truck,6,5,9,Sunny,5,3,3270.2,41.62895264010148
2024-03-31 08:36:00,2024-04-03 21:08:01.501752,Kolkata,Mumbai,2470,Truck,8,6,3,Rainy,10,14,1639.2,84.53375048653027
2023-08-13 18:41:00,2023-08-15 02:58:20.757991,Lucknow,Mumbai,1460,Truck,18,6,8,Cloudy,2,17,5432.0,32.28909944192523
2024-11-14 23:14:00,2024-11-18 06:03:24.794302,Kolkata,Delhi,1887,Trailer,23,3,11,Foggy,3,16,6709.3,78.82355397285248
2024-01-09 23:40:00,2024-01-12 20:41:37.104615,Lucknow,Bangalore,2347,Trailer,23,1,1,Sunny,2,12,10235.8,69.02697350418303
2024-11-22 16:48:00,2024-11-23 18:41:17.094411,Mumbai,Delhi,1301,Van,16,4,11,Cloudy,1,2,232.7,25.888081780960793
2024-03-17 19:11:00,2024-03-20 15:45:12.588225,Chennai,Lucknow,2208,Trailer,19,6,3,Cloudy,7,8,9482.6,68.5701633957005
2024-05-24 06:01:00,2024-05-26 23:40:09.061823,Kolkata,Jaipur,1752,Bike,6,4,5,Cloudy,3,12,2.0,65.65251717294046
2024-01-22 16:36:00,2024-01-23 23:14:13.501156,Jaipur,Hyderabad,1288,Van,16,0,1,Cloudy,7,16,1433.2,30.637083654309
2024-09-16 23:16:00,2024-09-18 09:33:02.701310,Hyderabad,Delhi,1410,Truck,23,0,9,Sunny,7,8,3507.1,34.28408369724762
2024-11-29 16:01:00,2024-12-02 08:40:05.127928,Delhi,Pune,1686,Truck,16,4,11,Rainy,8,16,4995.1,64.65142442450562
2024-10-03 21:22:00,2024-10-04 21:12:53.993768,Kolkata,Pune,864,Trailer,21,3,10,Cloudy,1,10,22972.2,23.8483316022603
2023-08-13 00:18:00,2023-08-14 15:36:46.724664,Lucknow,Mumbai,1391,Van,0,6,8,Stormy,5,20,1032.1,39.31297907330923
2024-09-29 01:52:00,2024-10-02 10:33:52.568397,Mumbai,Hyderabad,2427,Trailer,1,6,9,Sunny,10,15,17360.7,80.69793566571164
2024-11-14 05:31:00,2024-11-15 11:45:17.469630,Kolkata,Lucknow,714,Trailer,5,3,11,Cloudy,9,4,19111.3,30.238186008358905
2023-09-04 03:54:00,2023-09-05 10:40:24.788483,Pune,Delhi,835,Trailer,3,0,9,Foggy,7,15,21576.4,30.773552356358255
2023-07-22 23:58:00,2023-07-23 23:59:33.196490,Kolkata,Hyderabad,1014,Van,23,5,7,Cloudy,1,4,1322.6,24.02588791398828
2024-02-05 05:23:00,2024-02-05 21:07:32.344672,Lucknow,Mumbai,386,Truck,5,0,2,Foggy,8,11,6783.8,15.742317964317381
2024-09-01 05:21:00,2024-09-03 08:57:10.780050,Bangalore,Hyderabad,982,Bike,5,6,9,Rainy,3,6,13.4,51.60299445833385
2024-05-25 15:15:00,2024-05-25 18:01:53.936664,Bangalore,Hyderabad,127,Truck,15,5,5,Sunny,4,4,5818.6,2.781649073377382
2024-08-31 08:59:00,2024-08-31 18:47:19.777466,Kolkata,Pune,453,Van,8,5,8,Cloudy,4,9,452.1,9.805493740628322
2023-07-06 05:15:00,2023-07-07 07:11:53.297824,Delhi,Lucknow,764,Truck,5,3,7,Sunny,10,9,8920.7,25.94813828449058
2023-12-15 02:19:00,2023-12-15 23:56:37.705211,Mumbai,Chennai,649,Truck,2,4,12,Cloudy,8,3,5873.3,21.627140336479425
2024-02-07 02:18:00,2024-02-10 02:25:10.812566,Jaipur,Lucknow,2181,Bike,2,2,2,Sunny,1,5,13.6,72.119670157267
2023-05-28 06:51:00,2023-05-29 21:56:48.551857,Jaipur,Pune,1310,Truck,6,6,5,Rainy,8,15,1361.5,39.09681996030175
2024-05-03 00:39:00,2024-05-05 23:37:27.196650,Kolkata,Ahmedabad,2417,Truck,0,4,5,Cloudy,9,9,4577.6,70.97422129156104
2024-10-01 06:17:00,2024-10-02 01:48:47.170925,Kolkata,Delhi,632,Truck,6,1,10,Cloudy,9,2,9530.2,19.529769701300488
2024-10-02 10:27:00,2024-10-04 20:21:04.068203,Bangalore,Kolkata,1502,Trailer,10,2,10,Sunny,5,3,9993.0,57.901130056323325
2024-04-17 17:22:00,2024-04-19 17:17:55.137822,Lucknow,Pune,2018,Van,17,2,4,Stormy,4,12,1415.2,47.931982728412734
2024-02-19 09:34:00,2024-02-20 18:50:30.092085,Delhi,Bangalore,1661,Van,9,0,2,Sunny,4,16,1433.2,33.27502557902986
2023-09-20 15:25:00,2023-09-23 20:00:02.306850,Kolkata,Delhi,1733,Bike,15,2,9,Sunny,9,5,13.3,76.58397412508863
2024-09-15 19:59:00,2024-09-18 09:00:30.398097,Jaipur,Delhi,1929,Trailer,19,6,9,Sunny,8,10,16273.4,61.02511058247411
2023-01-02 00:47:00,2023-01-03 16:24:25.436041,Mumbai,Delhi,928,Trailer,0,0,1,Stormy,10,15,17938.8,39.62373223369803
2023-09-11 11:04:00,2023-09-13 11:21:58.647791,Chennai,Pune,1183,Truck,11,0,9,Stormy,10,14,8826.6,48.29962438629675
2023-02-06 22:08:00,2023-02-08 05:19:49.472037,Pune,Jaipur,1195,Van,22,0,2,Cloudy,7,14,1175.1,31.19707556590068
2023-08-21 02:18:00,2023-08-21 08:42:02.807987,Kolkata,Delhi,129,Bike,2,0,8,Foggy,3,13,9.6,6.400779996340428
2023-07-27 02:19:00,2023-07-27 16:59:08.352043,Lucknow,Hyderabad,591,Trailer,2,3,7,Sunny,4,16,24645.2,14.668986678540364
2023-06-01 21:55:00,2023-06-05 21:34:51.105026,Kolkata,Jaipur,1957,Truck,21,3,6,Stormy,9,8,7171.1,95.66419584049952
2024-11-03 23:51:00,2024-11-08 19:06:42.961979,Lucknow,Hyderabad,2156,Bike,23,6,11,Sunny,8,8,14.6,115.26193388312943
2024-08-09 16:07:00,2024-08-10 21:42:59.294998,Delhi,Bangalore,1200,Trailer,16,4,8,Sunny,1,17,6147.8,29.599804166204006
2024-02-24 05:39:00,2024-02-27 06:24:53.934300,Chennai,Bangalore,1696,Bike,5,5,2,Sunny,3,17,2.5,72.76498174998852
2023-09-11 02:47:00,2023-09-14 22:22:43.937255,Hyderabad,Kolkata,2009,Trailer,2,0,9,Cloudy,10,3,14029.2,91.59553812629119
2024-05-24 02:24:00,2024-05-24 23:24:21.386103,Mumbai,Pune,410,Bike,2,4,5,Rainy,2,1,6.1,21.005940584239852
2023-12-04 01:53:00,2023-12-06 10:50:58.713813,Mumbai,Hyderabad,2422,Trailer,1,0,12,Sunny,2,17,20654.7,56.966309392454605
2023-06-12 15:40:00,2023-06-15 14:56:27.845272,Lucknow,Chennai,1359,Trailer,15,0,6,Stormy,8,16,8212.3,71.27440146456964
2023-06-10 03:32:00,2023-06-13 03:33:30.356102,Bangalore,Pune,1666,Bike,3,5,6,Cloudy,6,17,14.7,72.02509891711159
2024-02-02 20:47:00,2024-02-03 20:02:44.992345,Lucknow,Delhi,630,Trailer,20,4,2,Sunny,6,2,11301.3,23.262497873606442
2024-05-18 07:06:00,2024-05-18 14:18:41.299742,Bangalore,Lucknow,256,Trailer,7,5,5,Cloudy,4,14,13578.5,7.211472150455455
2023-07-14 16:32:00,2023-07-17 16:09:25.759051,Ahmedabad,Delhi,2491,Trailer,16,4,7,Cloudy,1,7,10494.9,71.62382195874861
2024-11-18 11:58:00,2024-11-20 14:46:42.520874,Jaipur,Delhi,1126,Bike,11,0,11,Rainy,7,19,8.9,50.811811354024606
2024-04-14 22:21:00,2024-04-16 00:53:57.811194,Mumbai,Lucknow,633,Bike,22,6,4,Cloudy,8,1,1.4,26.549391998433546
2024-10-31 05:37:00,2024-11-03 03:50:59.565098,Delhi,Chennai,2378,Trailer,5,3,10,Cloudy,2,17,7993.6,70.23321252715222
2023-12-31 18:53:00,2024-01-02 14:05:29.619451,Lucknow,Kolkata,1849,Trailer,18,6,12,Sunny,2,10,19916.0,43.208227625354226
2023-10-10 01:20:00,2023-10-13 11:11:22.549213,Delhi,Hyderabad,2119,Bike,1,1,10,Cloudy,1,6,3.2,81.85626367033622
2024-08-31 14:32:00,2024-09-01 02:22:21.352257,Chennai,Kolkata,309,Truck,14,5,8,Stormy,4,7,3119.6,11.839264515863084
2024-03-28 15:18:00,2024-03-29 05:40:49.290936,Delhi,Hyderabad,412,Trailer,15,3,3,Sunny,6,6,20859.6,14.380358593370257
2024-05-30 02:48:00,2024-06-01 10:32:24.959989,Kolkata,Ahmedabad,1681,Truck,2,3,5,Foggy,5,5,1839.7,55.74026666372257
2024-05-26 16:43:00,2024-05-27 04:55:23.891026,Jaipur,Mumbai,262,Bike,16,6,5,Cloudy,4,2,6.8,12.20663639598993
2023-08-08 13:52:00,2023-08-10 16:55:57.847399,Kolkata,Bangalore,1767,Trailer,13,1,8,Sunny,4,18,5461.3,51.066068721976656
2024-06-01 02:59:00,2024-06-03 17:58:09.637840,Pune,Bangalore,1402,Truck,2,5,6,Stormy,10,17,4121.3,62.986010510998724
2023-02-06 23:28:00,2023-02-11 16:11:21.915877,Lucknow,Mumbai,1974,Bike,23,0,2,Cloudy,7,7,10.6,112.72275441029709
2024-05-11 13:52:00,2024-05-11 18:06:58.470504,Mumbai,Kolkata,169,Truck,13,5,5,Sunny,7,19,1810.9,4.249575140109054
